,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@Noahpinion We have made large construction projects almost illegal,774,70,2023-02-28 08:31:05+00:00
1,elonmusk,@cb_doge Anubis,930,69,2023-02-28 08:18:48+00:00
2,elonmusk,"@kkbaghel @McFaul Neither side has air superiority &amp; tanks are easily destroyed by missiles, so that leaves infantry &amp; artillery – basically WW1. Drones are not yet available in sufficient numbers to matter, much like aircraft in WW1.

A defense in depth trench war means https://t.co/cQq2BHxPXt… https://t.co/u0qint5YfJ https://t.co/9ghdUP7iRi",326,47,2023-02-28 08:16:40+00:00
3,elonmusk,"@McFaul Ukraine needs to be in max defense mode. Major Russian offensive coming.

Do you know how many casualties each side has taken?",4779,438,2023-02-28 07:52:38+00:00
4,elonmusk,@War_Mapper Almost surrounded,230,31,2023-02-28 07:45:28+00:00
5,elonmusk,@eightsleep It’s good,250,19,2023-02-28 07:17:48+00:00
6,elonmusk,@HeroDividend “Berkshire Hathaway high on Coke”,3749,163,2023-02-28 06:34:38+00:00
7,elonmusk,@cb_doge They forced me to buy it 🤣,21641,1235,2023-02-28 06:11:36+00:00
8,elonmusk,@mtracey Still no one is willing to articulate a realistic end game,5828,515,2023-02-28 06:05:49+00:00
9,elonmusk,@YuqiiQian High time humanity built a permanently occupied base on the moon,4302,252,2023-02-28 06:01:54+00:00
10,elonmusk,"@HistoryInPics If rendered to scale in that pic, the satellites would be smaller than a pixel, except maybe Space Station. 

Space is big. Real big.",3939,182,2023-02-28 05:42:41+00:00
11,elonmusk,"@BillFOXLA Only a small % is ever caught, which means the amount of fentanyl reaching consumers must be vastly greater",7548,797,2023-02-28 04:34:29+00:00
12,elonmusk,"@TrungTPhan @ashleevance “Stinky Wifi” is still my fav – if you can’t smell your wifi, how do you know it’s real?",1485,84,2023-02-28 04:19:02+00:00
13,elonmusk,@ashleevance Changing Starlink default wifi name to “FBI-van” on April 1,28134,1035,2023-02-28 04:15:45+00:00
14,elonmusk,@ashleevance 🤣,1217,59,2023-02-28 04:12:15+00:00
15,elonmusk,@aaronjmate The diplomats want war and the warriors want peace,25464,3576,2023-02-28 03:12:55+00:00
16,elonmusk,"@WholeMarsBlog Earth is almost entirely solar-powered already. Without the sun, we’d just be a dark ice ball with some chemotrophic bacteria.",13608,863,2023-02-28 03:08:39+00:00
17,elonmusk,@Lukewearechange True,6531,297,2023-02-28 02:40:02+00:00
18,elonmusk,First Starlink v2 satellites reach orbit https://t.co/0l08568mJ9,104432,9468,2023-02-28 02:28:19+00:00
19,elonmusk,"@lrocket The transition to argon was tricky, but necessary, as krypton is too rare",3004,167,2023-02-28 02:20:58+00:00
20,elonmusk,@Erdayastronaut Propulsive landing FTW!,5860,280,2023-02-28 01:41:12+00:00
21,elonmusk,"@JayCartere @ScottAdamsSays I don’t agree with everything Scott says, but Dilbert is legit funny &amp; insightful.

We should stop canceling comedy!",12315,1348,2023-02-27 20:13:28+00:00
22,elonmusk,@diana_dukic @catturd2 Accurate,2769,116,2023-02-27 20:08:06+00:00
23,elonmusk,@WarlordDilley @catturd2 🤣,1913,96,2023-02-27 20:07:40+00:00
24,elonmusk,@catturd2 What about rightists admitting they’re wrong about being right? 🤔,28026,1249,2023-02-27 19:57:00+00:00
25,elonmusk,@dogeofficialceo 🤣🤣,3315,150,2023-02-27 19:54:01+00:00
26,elonmusk,@dogeofficialceo @DavidDeutschOxf 🤣,922,65,2023-02-27 19:52:50+00:00
27,elonmusk,"@DavidDeutschOxf Great way to understand to what degree one is wrong. 

We are all always at least a little bit wrong, but can aspire to be less so.",5020,267,2023-02-27 19:50:34+00:00
28,elonmusk,https://t.co/IDVrLebj20,309739,24875,2023-02-27 19:16:17+00:00
29,elonmusk,@robbysoave @reason Very concerning,3741,238,2023-02-27 18:59:34+00:00
30,elonmusk,@SciGuySpace That’s roughly what they quoted SpaceX back then,1850,111,2023-02-27 17:10:56+00:00
31,elonmusk,@Plinz 🤣,2788,115,2023-02-27 16:22:53+00:00
32,elonmusk,@Jason 🔥💯,16691,742,2023-02-27 16:22:36+00:00
33,elonmusk,@tesla_europe Great work!,8158,326,2023-02-27 15:00:38+00:00
34,elonmusk,@DynamicWebPaige Haha true,1703,82,2023-02-26 23:00:13+00:00
35,elonmusk,@BillyM2k @Jason @GeorgeTakei Haha true,2105,101,2023-02-26 22:04:46+00:00
36,elonmusk,"@saylor Not bad, SaylorGPT!",6652,258,2023-02-26 21:51:23+00:00
37,elonmusk,@BillyM2k @greg16676935420 🤣,3537,114,2023-02-26 21:49:48+00:00
38,elonmusk,"But, all things considered with regard to AGI existential angst, I would prefer to be alive now to witness AGI than be alive in the past and not",21300,1388,2023-02-26 21:49:02+00:00
39,elonmusk,@WallStreetSilv Wow,6907,257,2023-02-26 21:42:38+00:00
40,elonmusk,@morgantepell 😂,1783,84,2023-02-26 21:36:07+00:00
41,elonmusk,"@emollick This answer is wrong. All fuel on CM is hypergolic, so dumping would prevent de-orbit burn &amp; atmospheric entry control.",4819,238,2023-02-26 21:35:33+00:00
42,elonmusk,@fasc1nate 😮,6634,203,2023-02-26 19:14:47+00:00
43,elonmusk,@TheBabylonBee 😂,8534,293,2023-02-26 19:09:46+00:00
44,elonmusk,@BillyM2k @WatcherGuru There will be a lot of robots,4579,279,2023-02-26 19:00:09+00:00
45,elonmusk,@fasc1nate What if that’s just a tiny person?,59420,1616,2023-02-26 18:58:32+00:00
46,elonmusk,@DavidSacks So few know this,5892,777,2023-02-26 18:51:54+00:00
47,elonmusk,@DavidSacks Exactly,2944,300,2023-02-26 18:51:42+00:00
48,elonmusk,"@Kristennetten AI+human vs AI+human is the next phase, but the human part will decrease in relevance over time, except perhaps as will, like our limbic system is to our cortex",3433,367,2023-02-26 18:51:11+00:00
49,elonmusk,@LanceUlanoff Some,1646,69,2023-02-26 18:48:31+00:00
50,elonmusk,@TheRabbitHole84 🤣🤣,2974,114,2023-02-26 18:48:10+00:00
51,elonmusk,@KanekoaTheGreat He did it via a pass-through organization (EcoHealth),74865,11103,2023-02-26 18:42:24+00:00
